booking_no,branch_code,customer_name,due_date,payment_date,amount_due,amount_paid,status
2537269728662,2000,Customer_0,2025-06-30,,1500000,,UNPAID
7599469860800,4002,Customer_1,2025-06-10,2025-06-11,1200000,1000000,UNDERPAID
3902496512996,3001,Customer_2,2025-05-08,2025-05-11,1284000,1284000,PAID
3428946152791,8504,Customer_3,2025-05-22,2025-05-22,1000000,1500000,OVERPAID
2794613162985,4002,Customer_4,2025-02-18,,1000000,,UNPAID
4320425998922,3001,Customer_5,2025-06-10,,1500000,,UNPAID
8502350871363,2000,Customer_6,2025-04-28,,1500000,,UNPAID
9735451114782,4002,Customer_7,2025-06-18,2025-06-19,1000000,800000,UNDERPAID
8344428484530,4002,Customer_8,2025-06-10,2025-06-13,1500000,1300000,UNDERPAID
3982646360362,8504,Customer_9,2025-06-14,,1500000,,UNPAID
8955322215998,8504,Customer_10,2025-02-09,2025-02-10,1284000,1084000,UNDERPAID
7471657352659,8504,Customer_11,2025-04-22,2025-04-23,1500000,2000000,OVERPAID
7443412133682,2000,Customer_12,2025-06-12,2025-06-12,1000000,1500000,OVERPAID
6149299296128,8504,Customer_13,2025-03-29,2025-04-01,1284000,1084000,UNDERPAID
4327465830577,3001,Customer_14,2025-02-01,2025-02-01,1000000,1500000,OVERPAID
6566474155902,2000,Customer_15,2025-02-04,2025-02-07,1500000,2000000,OVERPAID
3408302799257,4002,Customer_16,2025-05-28,2025-05-31,1500000,2000000,OVERPAID
5295519097177,2000,Customer_17,2025-06-08,2025-06-08,1284000,1784000,OVERPAID
1581487950906,4002,Customer_18,2025-01-16,2025-01-19,1000000,1500000,OVERPAID
1848889137610,2000,Customer_19,2025-01-31,2025-01-31,1500000,2000000,OVERPAID
3334816815763,3001,Customer_20,2025-02-28,2025-03-01,1284000,1084000,UNDERPAID
6469595985586,4002,Customer_21,2025-03-05,2025-03-08,1200000,1000000,UNDERPAID
5412444281087,4002,Customer_22,2025-05-19,2025-05-20,1200000,1200000,PAID
6193577835010,2000,Customer_23,2025-04-23,2025-04-26,1284000,1084000,UNDERPAID
3525644903599,4002,Customer_24,2025-01-02,2025-01-05,1284000,1084000,UNDERPAID
4617645133518,3001,Customer_25,2025-03-05,,1500000,,UNPAID
1488368186085,4002,Customer_26,2025-04-04,2025-04-05,1500000,2000000,OVERPAID
9793180048766,3001,Customer_27,2025-06-01,,1200000,,UNPAID
1202470467084,8504,Customer_28,2025-05-07,2025-05-07,1284000,1084000,UNDERPAID
2405730521900,4002,Customer_29,2025-01-18,,1200000,,UNPAID
5427505661227,4002,Customer_30,2025-01-12,2025-01-12,1200000,1700000,OVERPAID
4699465378318,8504,Customer_31,2025-01-16,2025-01-19,1284000,1284000,PAID
3769735203992,2000,Customer_32,2025-04-24,2025-04-27,1500000,1500000,PAID
4500409216005,2000,Customer_33,2025-05-05,,1200000,,UNPAID
8301484211405,3001,Customer_34,2025-05-01,2025-05-01,1284000,1784000,OVERPAID
9235339765080,3001,Customer_35,2025-03-16,,1284000,,UNPAID
6034559768542,2000,Customer_36,2025-01-11,2025-01-12,1500000,1500000,PAID
6108749710489,4002,Customer_37,2025-02-23,2025-02-23,1200000,1200000,PAID
7663367315710,2000,Customer_38,2025-04-09,,1284000,,UNPAID
7586511908848,2000,Customer_39,2025-04-01,2025-04-04,1000000,1000000,PAID
8902957738235,3001,Customer_40,2025-03-02,,1284000,,UNPAID
5543851251059,3001,Customer_41,2025-06-19,,1284000,,UNPAID
6879329281359,3001,Customer_42,2025-04-07,2025-04-08,1284000,1084000,UNDERPAID
1747214878240,2000,Customer_43,2025-05-31,,1200000,,UNPAID
8047185212551,3001,Customer_44,2025-05-04,,1000000,,UNPAID
1822554635249,8504,Customer_45,2025-04-20,2025-04-23,1000000,800000,UNDERPAID
4481562777994,2000,Customer_46,2025-01-06,,1200000,,UNPAID
7489752192628,4002,Customer_47,2025-05-05,2025-05-06,1000000,1500000,OVERPAID
1018189341899,8504,Customer_48,2025-02-11,2025-02-14,1284000,1084000,UNDERPAID
6565742936131,2000,Customer_49,2025-05-03,2025-05-04,1000000,1000000,PAID
9865193537345,2000,Customer_50,2025-04-24,2025-04-27,1500000,2000000,OVERPAID
5619480317909,8504,Customer_51,2025-01-30,,1500000,,UNPAID
1111923618537,8504,Customer_52,2025-03-20,2025-03-21,1000000,800000,UNDERPAID
2570465168888,4002,Customer_53,2025-05-29,2025-05-30,1000000,800000,UNDERPAID
7391662256454,3001,Customer_54,2025-03-15,2025-03-18,1000000,1500000,OVERPAID
3239477423769,8504,Customer_55,2025-04-20,,1000000,,UNPAID
6298207788286,2000,Customer_56,2025-01-09,,1200000,,UNPAID
3255331513481,8504,Customer_57,2025-04-25,,1500000,,UNPAID
8983396443547,4002,Customer_58,2025-04-17,2025-04-20,1000000,800000,UNDERPAID
3084303554484,3001,Customer_59,2025-01-06,2025-01-09,1000000,1500000,OVERPAID
5607112487999,2000,Customer_60,2025-03-10,2025-03-10,1284000,1284000,PAID
5816521386977,3001,Customer_61,2025-05-13,2025-05-14,1284000,1284000,PAID
2477772362993,8504,Customer_62,2025-02-13,,1000000,,UNPAID
5649132199739,8504,Customer_63,2025-05-21,,1000000,,UNPAID
7783756936110,3001,Customer_64,2025-06-25,2025-06-25,1000000,1000000,PAID
6405630516867,8504,Customer_65,2025-06-20,2025-06-21,1000000,1500000,OVERPAID
5015588786679,4002,Customer_66,2025-04-16,2025-04-17,1284000,1784000,OVERPAID
1830359330543,2000,Customer_67,2025-03-03,2025-03-03,1500000,1300000,UNDERPAID
6632173035186,8504,Customer_68,2025-05-18,2025-05-19,1200000,1200000,PAID
4258981759542,3001,Customer_69,2025-03-13,2025-03-16,1000000,1000000,PAID
5199768398508,3001,Customer_70,2025-06-30,2025-06-30,1000000,800000,UNDERPAID
6785235671698,8504,Customer_71,2025-03-10,2025-03-11,1000000,800000,UNDERPAID
4175425546276,2000,Customer_72,2025-01-11,2025-01-12,1000000,1000000,PAID
7592916154194,3001,Customer_73,2025-03-27,,1200000,,UNPAID
8920870972153,2000,Customer_74,2025-02-18,,1500000,,UNPAID
5934965022669,2000,Customer_75,2025-01-13,2025-01-13,1200000,1700000,OVERPAID
3168670217848,4002,Customer_76,2025-06-22,2025-06-23,1284000,1784000,OVERPAID
7426819757435,2000,Customer_77,2025-04-13,2025-04-14,1284000,1284000,PAID
1370434169779,2000,Customer_78,2025-03-08,,1500000,,UNPAID
3313173587927,2000,Customer_79,2025-06-01,2025-06-04,1284000,1084000,UNDERPAID
1752632237580,3001,Customer_80,2025-02-15,2025-02-18,1284000,1784000,OVERPAID
3611901749865,2000,Customer_81,2025-03-21,,1000000,,UNPAID
4136919676034,8504,Customer_82,2025-02-12,,1000000,,UNPAID
1217571641067,4002,Customer_83,2025-03-27,2025-03-27,1000000,1500000,OVERPAID
1076442639382,3001,Customer_84,2025-02-07,2025-02-10,1500000,1500000,PAID
4204602313497,2000,Customer_85,2025-01-22,2025-01-25,1200000,1700000,OVERPAID
7778349363277,2000,Customer_86,2025-01-31,2025-01-31,1284000,1084000,UNDERPAID
7418642325343,8504,Customer_87,2025-01-17,2025-01-17,1284000,1284000,PAID
2288540539471,2000,Customer_88,2025-03-15,2025-03-15,1284000,1284000,PAID
8672608184722,8504,Customer_89,2025-04-27,,1284000,,UNPAID
5768126856495,4002,Customer_90,2025-01-01,2025-01-02,1284000,1284000,PAID
6943918237145,3001,Customer_91,2025-06-30,2025-07-01,1200000,1000000,UNDERPAID
5352513485623,2000,Customer_92,2025-05-20,2025-05-21,1000000,1000000,PAID
3929128856954,3001,Customer_93,2025-03-22,,1200000,,UNPAID
5469240352408,8504,Customer_94,2025-03-24,2025-03-25,1284000,1784000,OVERPAID
8886294944762,4002,Customer_95,2025-05-28,2025-05-28,1000000,1500000,OVERPAID
7616925981279,3001,Customer_96,2025-01-01,2025-01-02,1284000,1784000,OVERPAID
2107701620630,3001,Customer_97,2025-02-06,2025-02-09,1200000,1000000,UNDERPAID
8775963464958,2000,Customer_98,2025-04-21,2025-04-21,1200000,1200000,PAID
